City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,erbil,36.1926,44.0106,11.9,47,0,2.06,IQ,1683335918
83,magadan,59.5667,150.8,4.74,79,98,1.01,RU,1683335529
84,isafjordur,66.0755,-23.124,5.86,99,100,0.42,IS,1683335728
85,port mathurin,-19.6833,63.4167,26.13,76,12,7.57,MU,1683335699
86,ushuaia,-54.8,-68.3,7.81,57,0,7.2,AR,1683335694
87,pembroke,45.8168,-77.1162,11.77,70,69,0.78,CA,1683335719
88,kuching,1.55,110.3333,30.07,73,20,1.03,MY,1683335703
89,rotorua,-38.1387,176.2452,18.67,94,100,2.81,NZ,1683335920
90,stanley,54.868,-1.6985,9.33,94,47,0.0,GB,1683335719
91,isangel,-19.55,169.2667,29.06,84,75,2.06,VU,1683335920
92,kasaragod,12.5,75.0,24.92,82,100,1.97,IN,1683335921
93,port alfred,-33.5906,26.891,15.66,95,5,4.74,ZA,1683335668
94,ribeira grande,38.5167,-28.7,17.65,96,100,6.71,PT,1683335742
95,kyabe,9.4515,18.9449,29.37,34,65,1.2,TD,1683335786
96,kodinar,20.7903,70.7031,25.92,79,98,3.11,IN,1683335922
97,port lincoln,-34.7333,135.8667,12.92,57,92,6.47,AU,1683335746
98,quemado de guines,22.7853,-80.2536,27.12,72,60,2.57,CU,1683335922
99,kenora,49.8167,-94.4337,13.54,47,75,6.69,CA,1683335923
100,sosnogorsk,63.6023,53.8817,0.16,97,100,2.79,RU,1683335923
101,bengkulu,-3.8004,102.2655,25.77,88,100,1.24,ID,1683335754
102,holualoa,19.6228,-155.9522,25.91,73,75,6.69,US,1683335701
103,thunder bay,48.4001,-89.3168,6.99,81,100,6.69,CA,1683335810
104,enewetak,11.3474,162.3373,27.34,78,100,6.8,MH,1683335712
105,amga,60.8953,131.9608,3.02,96,98,2.03,RU,1683335924
106,itaituba,-4.2761,-55.9836,23.44,99,95,0.81,BR,1683335925
107,zheleznodorozhnyy,55.7503,38.0042,-0.71,65,0,3.48,RU,1683335925
108,cabo san lucas,22.8909,-109.9124,29.17,30,40,1.54,MX,1683335731
109,concordia,-31.393,-58.0209,18.21,100,100,1.34,AR,1683335633
110,invercargill,-46.4,168.35,16.75,68,0,3.38,NZ,1683335734
111,colon,9.3592,-79.9014,26.99,85,100,5.13,PA,1683335927
112,aiquile,-18.2041,-65.1807,13.84,85,100,1.91,BO,1683335927
113,severodvinsk,64.5635,39.8302,-1.68,81,97,3.12,RU,1683335927
114,bilibino,68.0546,166.4372,-3.83,77,98,1.54,RU,1683335700
115,lutsk,50.7593,25.3424,6.1,83,100,0.45,UA,1683335928
116,vallenar,-28.5708,-70.7581,14.4,71,42,1.42,CL,1683335928
117,polyarnyy,69.1989,33.4478,-1.93,92,100,3.22,RU,1683335765
118,tutoia,-2.7619,-42.2744,25.33,90,52,4.04,BR,1683335929
119,arkhangel'sk,64.5401,40.5433,-2.8,87,90,2.1,RU,1683335929
120,hamilton,39.1834,-84.5333,18.47,57,0,4.12,US,1683335610
121,st. john's,47.5649,-52.7093,0.93,94,100,12.35,CA,1683335531
122,chom thong,18.4174,98.6743,32.83,53,51,1.54,TH,1683335930
123,mokhsogollokh,61.4681,128.9203,1.56,100,100,1.97,RU,1683335930
124,abu zabad,12.35,29.25,28.95,18,12,2.3,SD,1683335930
125,puerto ayora,-0.7393,-90.3518,26.97,96,41,2.24,EC,1683335745
126,ljusdal,61.8288,16.0913,-1.54,72,22,1.51,SE,1683335788
127,coeur d'alene,47.6777,-116.7805,8.7,93,100,2.57,US,1683335931
128,al ghayzah,16.2079,52.176,30.02,30,100,3.61,YE,1683335771
129,berdigestyakh,62.0989,126.6992,1.3,100,100,3.29,RU,1683335738
130,floro,61.5996,5.0328,6.98,53,40,5.14,NO,1683335745
131,nabire,-3.3667,135.4833,28.32,79,100,2.37,ID,1683335932
132,kiffa,16.6166,-11.4045,32.89,12,0,4.3,MR,1683335932
133,udachny,66.4167,112.4,0.25,92,100,3.23,RU,1683335721
134,novodvinsk,64.4165,40.8122,-3.44,88,65,2.18,RU,1683335933
135,kerikeri,-35.2268,173.9474,18.02,92,100,3.86,NZ,1683335933
136,czersk,53.7959,17.9765,3.12,65,100,4.92,PL,1683335933
137,bredasdorp,-34.5322,20.0403,12.92,91,88,2.41,ZA,1683335706
138,ghat,24.9647,10.1728,22.77,18,6,1.0,LY,1683335934
139,bolu,40.6667,31.5833,8.93,96,98,1.56,TR,1683335776
140,dudinka,69.4058,86.1778,-11.32,89,97,4.07,RU,1683335742
141,paracuru,-3.41,-39.0306,26.17,83,6,3.88,BR,1683335739
142,tangalle,6.024,80.7911,25.77,87,99,5.01,LK,1683335935
143,santa terezinha,-29.9002,-50.0904,20.12,97,100,3.38,BR,1683335935
144,port elizabeth,-33.918,25.5701,15.73,97,68,1.79,ZA,1683335714
145,igrim,63.1906,64.4162,5.03,77,100,1.88,RU,1683335748
146,petropavlovka,50.6114,105.3196,8.21,42,6,1.69,RU,1683335936
147,howard springs,-12.497,131.047,30.46,72,100,4.33,AU,1683335936
148,castro marim,37.2207,-7.4435,17.99,79,32,7.5,PT,1683335936
149,coquimbo,-29.9533,-71.3436,12.85,82,0,2.06,CL,1683335645
150,galliano,29.4422,-90.2992,26.0,83,40,2.06,US,1683335937
151,rio gallegos,-51.6226,-69.2181,9.03,81,75,3.09,AR,1683335730
152,al wafrah,28.6392,47.9306,23.11,10,0,4.19,KW,1683335937
153,dryden,49.7833,-92.7503,11.16,62,100,5.66,CA,1683335764
154,bichura,50.5881,107.6022,8.45,39,1,2.17,RU,1683335938
155,jamestown,42.097,-79.2353,9.8,71,0,3.09,US,1683335518
156,pariaman,-0.619,100.12,27.03,97,100,1.61,ID,1683335939
157,olonkinbyen,70.9221,-8.7187,0.25,99,100,4.92,SJ,1683335698
158,knyaze-volkonskoye,48.4642,135.4567,11.19,42,74,1.17,RU,1683335939
159,alghero,40.5589,8.3181,12.05,100,0,0.51,IT,1683335939
